basis,m,R,s,queries,commit_ms,transform_ms,ntt_ms,merkle_ms,open_ms,verify_ms,proof_kib
Kernel,12,2,8,148,2.46,0.02,0.40,2.00,2.63,2.297,387.0
Monomial,12,2,8,148,2.31,0.02,0.40,1.89,2.59,2.290,387.0
Kernel,14,2,10,148,10.15,0.09,1.92,8.09,10.40,3.084,530.6
Monomial,14,2,10,148,9.76,0.09,1.84,8.00,10.32,3.088,530.6
Kernel,16,2,12,148,44.65,0.48,9.38,32.37,42.08,3.147,692.6
Monomial,16,2,12,148,36.46,0.32,7.83,28.37,34.77,3.539,692.6
Kernel,18,2,14,148,158.81,2.68,40.55,104.63,173.64,4.956,873.1
Monomial,18,2,14,148,176.38,2.61,46.26,128.64,171.73,4.062,873.1
Kernel,20,2,16,148,821.47,15.19,210.23,521.15,734.78,6.149,1072.2
Monomial,20,2,16,148,779.03,13.64,227.49,509.07,751.81,6.084,1072.2
Kernel,22,2,18,148,4139.69,60.75,1476.06,2391.24,3354.88,6.064,1289.7
Monomial,22,2,18,148,3998.14,66.07,1469.52,2271.72,3401.32,7.176,1289.7
