basis,m,R,s,queries,commit_ms,transform_ms,ntt_ms,merkle_ms,open_ms,verify_ms,proof_kib
Kernel,12,2,8,148,2.57,0.02,0.41,2.02,2.74,2.339,387.0
Monomial,12,2,8,148,2.50,0.02,0.42,2.10,2.78,2.610,387.0
Kernel,14,2,10,148,12.23,0.16,2.57,9.70,10.98,3.093,530.6
Monomial,14,2,10,148,9.59,0.08,1.79,7.80,10.49,3.088,530.6
Kernel,16,2,12,148,46.68,0.50,9.24,32.90,50.34,3.987,692.6
Monomial,16,2,12,148,40.90,0.40,9.93,31.87,45.16,3.145,692.6
Kernel,18,2,14,148,190.67,2.86,46.36,129.78,173.63,4.743,873.1
Monomial,18,2,14,148,177.48,2.62,46.82,127.10,171.83,3.929,873.1
Kernel,20,2,16,148,769.12,14.22,247.66,560.95,743.78,4.811,1072.2
Monomial,20,2,16,148,813.28,11.03,203.83,497.16,732.52,5.089,1072.2
Kernel,22,2,18,148,4019.16,65.53,1497.43,2119.86,3444.92,6.840,1289.7
Monomial,22,2,18,148,4018.22,60.25,1404.70,2198.46,3269.16,7.355,1289.7
